Organisation URL,Organisation Label,"Site Reference
",Previously Part Of,Site Name Address,Site Plan URL,Coordinate Reference System,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed for PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-86,,"“Antigallican PH, 428 Woolwich Rd Charlton“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,541150,178487,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,29/08/2017,,,8,"“15/2272/F. Construction of a 2-storey side extension, enlargement of basement and conversion of existing hotel and part of public house into 8 self-contained flats and 2 additional commercial units (retail unit and gymnasium).”",“2 additional commercial units (retail unit and gymnasium).“,,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-87,,“2a Kirkham St Plumstead“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,545080,177635,0.05,Unknown ownership,Yes,Permissioned,Full planning permission,30/08/2017,,,6,"“15/3082/F. Demolition of existing (B2) warehouse structures onsite and the construction of 6 x 2-brm townhouses with private outdoor amenity space, car and bicycle parking provision and refuse collection and storage arrangements.”",,,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-88,,“3-5 Tunnel Ave Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540055,178358,0.11,Unknown ownership,Yes,Permissioned,Full planning permission,22/09/2017,,,23,"""16/3858/F. Demolition of the existing building and construction of a 4-storey block comprising 23 self-contained flats (12 x 1-brm, 10 x 2 -brm and 1 x 3-brm).""",,,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-89,,"“Island site, Thomas, Wellington, Polytechnic & Calderwood Sts Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543502,178849,0.68,Unknown ownership,Yes,Pending decision,,,,,310,"“16/2480/F. The phased redevelopment and refurbishment of the Island site to provide 310 dwellings, a cinema, and a mix of D1, A1, A3 and B1 uses, with associated parking and servicing arrangements, amenity and open space.“","“Cinema and a mix of D1, A1, A3 and B1 uses.“",,,,,,"“Resolution to approve.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-90,,"“Spray St SPD area, Spray St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543874,178888,1.86,Unknown ownership,,Not Permissioned,,,,,455,"""Spray Street Masterplan SPD adopted January 2015. Illustrative Masterplan includes a comprehensive mixed-use development comprising residential, student accommodation, hotel, retail, café/restaurant, entertainment, cinema, flexible event/activity/market space, nursery, and flexible office/small business space.""","“Student accommodation, hotel, retail, café/restaurant, entertainment, cinema, flexible event/activity/market space, nursery, and flexible office/small business space.""",,,,,,“Minimum net dwellings based on Illustrative Masterplan capacity and 2016 London SHLAA capacity.',22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-91,,“Land At Harrow Manorway & Felixstowe Rd Abbey Wood“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,547280,179322,2.15,Unknown ownership,Yes,Pending decision,,,,,245,"""16/2878/F. Erection of two buildings comprising 245 residential units (use class C3), 882 m² of flexible commercial space (Use Classes A1-A5/B1/D1), associated works including access, parking, landscaping and public realm.""",882 m² of flexible commercial space (use classes A1-A5/B1/D1),,,,,,"“Resolution to approve.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-92,,"“Norman House, 110-114 Norman Rd Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,537769,177216,0.16,Unknown ownership,Yes,Pending decision,,,,,63,"""16/2783/F. Demolition of existing building and construction of a part 5-/part 12-storey building comprising 63 residential units, 395 m² commercial floorspace (Class A2/B1) including car parking, cycle parking, landscaping and associated works.""","""395 m² commercial floorspace (Class A2/B1)""",,,,,,"“Resolution to approve.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-93,,"“Woolwich Catholic Club, 81-88 Beresford St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543679,179053,0.8,Unknown ownership,Yes,Pending decision,,,,,59,"""16/1975/F. Demolition and redevelopment of the former Woolwich Catholic Club for a part 7-/part 11-storey building providing a mixed use development comprising gym use (Class D2) at basement and ground level and 59 flats above, together with associated works.""","""Gym use (Class D2) at basement and ground level.""",,,,,,"“Resolution to approve.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-94,,“16 Sandpit Pl Charlton“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542370,178348,0.31,Unknown ownership,Yes,Pending decision,,,,,32,"""17/0453/F. Demolition of existing building and construction of 2 x 1-brm and 30 x 2-brm houses with associated hard/soft landscaping and creation of 12 on-street parking spaces.""",,,,,,,"“Resolution to approve.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-95,,"“Fred Styles House and adjacent garages, 20 Fletching Rd Charlton“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,541450,177894,0.4,Unknown ownership,Yes,Pending decision,,,,,37,"""17/1460/F. Demolition of existing block and garages and construction of 37 residential units comprising 3 x 1-brm, 5 x 2-brm flats and 16 x 1-brm, 7 x 2-brm, 6 x 3-brm houses with associated landscaping, parking and refuse.""",,,,,,,"“Resolution to approve.""",22/12/2017,22/12/2017
